"filename", "language", "CSS", "PHP", "YAML", "HTML", "JavaScript", "XML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\PasswordResetsController.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 0, 0, 11, 47
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\PdfController.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 10, 37
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\RegistrationController.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 1, 8, 31
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\UserDevicesController.php", "PHP", 0, 45, 0, 0, 0, 0, 0, 0, 0, 11, 56
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\UsersController.php", "PHP", 0, 80, 0, 0, 0, 0, 0, 0, 0, 19, 99
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\VerificationApiController.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 0, 0, 8, 44
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Kernel.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 0, 21, 9, 69
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Middleware\Authenticate.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 6, 4, 22
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Middleware\EncryptCookies.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 8, 6, 33
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Middleware\TrimStrings.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 5, 4, 19
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Middleware\TrustHosts.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 5, 4, 21
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Middleware\TrustProxies.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 10, 5, 24
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Middleware\VerifiedUser.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 7, 5, 28
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Models\Accessories.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 0, 9, 37
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Models\AccessoriesLend.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 0, 8, 32
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Models\DeviceLend.php", "PHP", 0, 35, 0, 0, 0, 0, 0, 0, 0, 11, 46
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Models\DevicesLongTerm.php", "PHP", 0, 89, 0, 0, 0, 0, 0, 0, 0, 16, 105
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Models\DevicesShortTerm.php", "PHP", 0, 88, 0, 0, 0, 0, 0, 0, 0, 18, 106
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Models\DevicesTransfer.php", "PHP", 0, 72, 0, 0, 0, 0, 0, 0, 0, 18, 90
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Models\LeavingWork.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Models\User.php", "PHP", 0, 187, 0, 0, 0, 0, 0, 0, 15, 33, 235
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Notifications\PasswordReset.php", "PHP", 0, 60, 0, 0, 0, 0, 0, 0, 51, 14, 125
